"アームストロング","前半の勢いのままオチまでいってたらなあ・・・ 2人のかけ合いが楽しく親近感が湧きました"
"アームストロング","息ぴったりのところはよかったと思います でもネタの構成が盛り上がり不足でした"
"あいつら","コンビネーションはバッチリでした。インパクトのある笑いをもっと見せてほしかった！"
"アイデンティティ","初めてなのにとても堂々としていましたね！ もっとオリジナリティがあれば良かったです"
"アイデンティティ","テンポはいいが大きな笑いがなかった／若さとキャラをいかしてがんばれっ！"
"アイデンティティ","笑顔とフレッシュさが好印象でした！／後半のテンポが最初からあれば・・・"
"アイデンティティ","ストーリーがしっかりしていて面白かった でもちょっと先が読めちゃったのが残念"
"アイデンティティ","見てて気持ちのいい 大好きなコンビ！／今回は歌ネタが長すぎたかも・・・！"
"アイデンティティ","いつもと違う感じのネタだったけど私は好きです(ハート)／説明が長く笑いが少ない感じでキレが悪いなぁ・・・"
"アイデンティティ","カミカミなのを逆にネタにする位の成長を／三重ネタを絡めてくれてウレしかったです"
"アイデンティティ","ボケがたくさん入っていて笑いまくりでした／長いセリフをかんでしまってもったいなかった"
"アイデンティティ","勢い、テンポともによかったです　２人の息もピッタリですね／設定がありきたりすぎかな･･･　ネタの内容にもう少し工夫を！"
"アイデンティティ","新しい形のコントですごく楽しめました／同じボケの繰り返しであまり笑えなかった"
"アイロンヘッド","くだらね～～(笑) だんだんクセになってくる／発想はユニークだけど少し単調かな"
"アインシュタイン","ボケ一つ一つのパンチが弱く、大笑いすることが少なかった／テンポが良くて勢いはあったけど･･･"
"アインシュタイン","ボケもツッコミもありきたりに感じてしまった／キャラが立っていて動きや雰囲気はおもしろかった"
"青木さやか","迫力があって声も演技もすばらしいのに どこで笑っていいのか分かりませんでした 次に期待!!"
"青木さやか","声がきれいでよく通っていた でもいつもの青木さんのキャラを活かせてないような・・・"
"青木さやか","独特のさやかワールド大好きです！でも、笑いどころが少なすぎて・・・"
"青木さやか","もう少し毒があってもよかったかな 次回は青木さんらしい切れ味鋭い笑いを！"
"青木さやか","いつもの毒舌に最新の時事ネタも入っていて楽しかった でも展開が一本調子でもったいなかったです"
"青木さやか","毒のある笑い前から好きです でも時々本当に「怖い」と感じることが・・・"
"青空","中田カウス口調にハマってしまいました／さらなるネタの掘り下げをして、リベンジを!!"
"青空","緊張していましたか？キレもテンポもいいので、次回に期待します！"
"青空","明るくて楽しかったです！ただ後半パワーダウンしたような気が・・・"
"青空","テンポはいいんだけど もう少し個性を出した方が・・・頑張れ！"
"青空","勢いもテンポも良いし好感が持てました！ただ野球ネタは分からないと笑えません"
"赤いタンバリン","テンションが高すぎて置いてかれました キャラはよかったので次回に期待します"
"赤いタンバリン","自分達だけで楽しんでいるような気がした 濃いキャラをもっと活かして頑張って！"
"あかつ","相撲にくわしくないので・・・でも動きは楽しかった／ものまねのレパートリーが増えればgood!!"
"あかつ","マニアックだけど、相撲があまり分からなくても笑えた／相撲に興味ない私には単調に感じられました"
"赤Ｐ－ＭＡＮ","絵がスゴクうまくて見入ってしまいました！／オチが読めちゃうネタがあったのが残念"
"あきげん","初挑戦には見えないくらいテンポが良かったですヨ！ツッコミがちょっとワンパターンだったかも"
"あきげん","髪の毛ネタに頼りすぎかも・・・2人とも元気があって好印象でしたよ"
"あきげん","元気なのは好印象ですが少し空回り気味かな？／ボール1個差でおしかった！次回頑張れ！"
"あきげん","ラップネタはとても新鮮でした もう少しパンチが欲しかったです"
"あきげん","声も出ていてテンポも良かったですよ 後半の勢いが前半にも出ていたら・・・"
"あきげん","テンションも高く元気があって良かったです もっとボケに意外性があるといいかな？"
"あきげん","最後までボケが同じパターンはちょっと厳しい・・・／話のテンポや掛け合いは上手いと思いました"
"あきげん","同じことの繰り返しで客席が置いていかれた感じです／今日一番の勢い！楽しませようという意欲が伝わって来た"
"あきげん","前半の話が後半につながっていたのは見事！／流れは良かったけれど、もう一つパンチが欲しかったです"
"あきげん","ボケが全て繋がっていく構成はさすがでした／話がコロコロ変わって忙しい感じがしたかな"
"アクシャン","前のネタに比べるとちょっと・・・。ショックを受けないで、また来て！"
"アクシャン","いつもの勢いがなく、地味だったかな？／また面白いネタ、期待してます！"
"アクシャン","後半ちょっとパワーダウンしたかな。でも私はアクシャン大好き(ハート)"
"アクシャン","演技が上手いので芝居に見入ってしまった。／期待してたけど、いまいち笑いが少なかった。"
"アクシャン","最初面白かったんですけど一本調子で尻すぼみって感じでした"
"アクシャン","リアルな演技はいつもながら感心 でも、淡々としたネタは迫力に欠けました"
"アクシャン","発想はザンシンでステキ・・・ちょっとキモかったけど／もっと最後にドカンと笑いがあるとよかった"
"アクシャン","ショートコント初めて見ましたがイケルと思います ちょっとわかりづらいものが混じっていたのが残念"
"あくび虫","前半はとってもおもしろかったんですが、オチが今ひとつでしたね。東京でもガンバレ！"
"あくび虫","笑えませんでした・・・キャラクター作りが先行してしまった気がします これをバネに次は！"
"阿佐ヶ谷姉妹","長野ネタだったので、親近感を覚えたし笑えた／使う歌によってウケる世代に違いがありそう"
"阿佐ヶ谷姉妹","北海道ネタを汗だくで頑張ってやってくれて楽しかったです／テレビより生で見るほうが伝わって来ました"
"阿佐ヶ谷姉妹","歌のうまさと笑いがマッチしていておもしろい／笑える所とそうでない所の差が激しかった"
"阿佐ヶ谷姉妹","動きの激しい阿佐ヶ谷姉妹も面白いです！／つかみは面白かったですが、その後、物足りなく感じました"
"朝倉小松崎","ネタがとんだのは残念ですが 相方のフォローが ほほえましかったです"
"朝倉小松崎","騒ぎすぎで だんだん疲れてきます・・・／ギターとさわやかさを生かして頑張れ！"
"アジアン","勢いはいいけど早口で分かりづらい所があった／女性コンビ応援しています！頑張って下さい！"
"アジアン","明るく元気で好感が持てました！／ネタのインパクトが弱かったかな・・・"
"アジアン","まさに「正統派しゃべくり漫才」って感じです／6位？惜しい！大爆笑があれば・・・"
"足軽エンペラー","ツカミが良かったのでその先を期待したのですが・・・／もっと爆発力のある笑いがほしかったです"
"アップダウン","同じネタを引っぱりすぎかな？アドリブでも笑わせてくれるのはさすが！"
"あどばるーん","方言がほのぼのとしていて良かったです／まとまってたけど印象に残らなかったかな・・・"
"あどばるーん","全体にほのぼのした感じで好きです ネタにもう少しパンチがきいていれば・・・"
"あどばるーん","青森弁がカワイイですね～／頭をたたきすぎで痛そうでした・・・"
"あどばるーん","青森弁は聞いていてほっこりしましたよ／何を言っているか分からない所が多すぎました"
"アナログタロウ","古い年代のネタだけでなく現代のものが入れば・・・／目のつけどころは良いと思うしクスっと笑えます"
"アナログタロウ","80年代の歌番組を見た事ないのに笑えました／ネタがずっと同じ調子でちょっと飽きてしまいました"
"兄貴会","コワイキャラがおもしろかったけどもうちょっと・・・／「チョイチョ～イ」はやらせましょう！"
"あばれヌンチャク","とても新人とは思えない出来でした／４０５ＫＢで落ちたのは残念 次もガンバレ"
"あばれヌンチャク","無邪気な笑顔とブラックなネタのコントラストがファンタスティックでした"
"あばれヌンチャク","二人のかけ合いはリズム感があってグー！でも毒の強いネタは好き嫌いが分かれるかも"
"あばれヌンチャク","セリフ間違えたのはワザとですか？ いつもより笑いが足りなかったような・・・"
"あばれヌンチャク","イラストに力が入り過ぎて ネタの方が薄くなっていた様な気がします"
"あばれヌンチャク","今までにない流れでしたネ でもこりすぎてテンポが落ちたかな？"
